time,means,sd,se
125,64.14372028,13.45935709,4.486452364
127,64.15155307,13.43155959,4.477186529
129,64.14055264,13.48564874,4.495216248
131,64.17667102,13.46117808,4.487059361
133,64.18906961,13.4784386,4.492812867
135,64.2320358,13.4398317,4.479943901
137,64.18917072,13.47330489,4.491101628
139,64.17904893,13.50546207,4.50182069
141,64.20698933,13.50009219,4.500030728
143,64.22755195,13.5154537,4.505151235
145,64.24555884,13.42081929,4.47360643
147,64.196158,13.38782113,4.462607042
149,64.27593468,13.41543581,4.471811937
151,64.28775099,13.43918061,4.479726871
153,64.28475594,13.48463134,4.494877113
155,64.33831637,13.46895722,4.489652406
157,64.38237912,13.50080759,4.500269197
159,64.36783798,13.45142094,4.483806979
161,64.3723689,13.45845432,4.486151441
163,64.33352918,13.47323719,4.491079064
165,64.35638254,13.46098248,4.486994161
167,64.34959748,13.43379313,4.477931043
169,64.3649423,13.43772416,4.479241388
171,64.41331632,13.45415867,4.484719555
173,64.40645281,13.44210712,4.480702372
175,64.43436532,13.45748566,4.485828553
177,64.44802957,13.49472646,4.498242154
179,64.4795839,13.49099854,4.496999515
181,64.4326464,13.49395085,4.497983618
183,64.49668426,13.51969462,4.506564873
185,64.54882562,13.52735101,4.509117002
187,64.59336081,13.5037751,4.501258368
189,64.59268963,13.43421122,4.478070408
191,64.58754156,13.43558137,4.478527122
193,64.54247814,13.50576695,4.501922318
195,64.52460026,13.45025343,4.483417809
197,64.58793033,13.45614617,4.485382056
199,64.65406193,13.51195101,4.503983671
201,64.59791265,13.57558476,4.525194919
203,64.53422346,13.55645842,4.518819475
205,64.56574641,13.6261362,4.5420454
207,64.62388309,13.59740057,4.532466858
209,64.58396599,13.60340036,4.534466786
211,64.64835077,13.59028233,4.530094111
213,64.6966045,13.57717391,4.525724635
215,64.6550783,13.5688617,4.5229539
217,64.7120452,13.60753955,4.535846517
219,64.6775272,13.58780535,4.529268448
221,64.67699025,13.57442663,4.524808878
223,64.74299111,13.54459163,4.514863878
225,64.72153242,13.52682277,4.508940923
227,64.68536697,13.52571312,4.508571041
229,64.69509303,13.55304532,4.517681775
