"","time","Q","cond"
"1",1,0.292382965403152,"5_noise"
"2",2,0.241375641892797,"5_noise"
"3",3,0.185626451715623,"5_noise"
"4",4,0.0904081948720644,"5_noise"
"5",5,0.0612971380282971,"5_noise"
"6",6,-0.0687877854820627,"5_noise"
"7",7,-0.0206343089925241,"5_noise"
"8",8,0.050252234163817,"5_noise"
"9",9,0.102310777320059,"5_noise"
"10",10,0.0248047871429934,"5_noise"
"11",11,0.0106166636326352,"5_noise"
"12",12,0.0579333401222716,"5_noise"
"13",13,-0.0206883833880023,"5_noise"
"14",14,-0.0474285068983458,"5_noise"
"15",15,-0.0416728970752127,"5_noise"
"16",16,-0.099095687252362,"5_noise"
"17",17,-0.172696610762738,"5_noise"
"18",18,-0.185908467606399,"5_noise"
"19",19,-0.0922888577833695,"5_noise"
"20",20,-0.114147647960426,"5_noise"
"21",21,-0.0694808381376751,"5_noise"
"22",22,0.0768571716855571,"5_noise"
"23",23,0.0494197148417934,"5_noise"
"24",24,-0.12752600866867,"5_noise"
"25",25,-0.115354932178927,"5_noise"
"26",26,-0.098720922356097,"5_noise"
"27",27,-0.0106799791997604,"5_noise"
"28",28,0.0458414972899958,"5_noise"
"29",29,-0.0917746262204802,"5_noise"
"30",30,-0.0950843497308427,"5_noise"
"31",31,-0.072871673241191,"5_noise"
"32",32,-0.0241603300849703,"5_noise"
"33",33,-0.0370932535953115,"5_noise"
"34",34,0.00366848956100529,"5_noise"
"35",35,0.103006232717538,"5_noise"
"36",36,-0.0121557574595126,"5_noise"
"37",37,-0.131780680970062,"5_noise"
"38",38,-0.136206137813633,"5_noise"
"39",39,-0.0100907946572969,"5_noise"
"40",40,0.143220548498943,"5_noise"
"41",41,0.187468958321963,"5_noise"
"42",42,0.163099768144816,"5_noise"
"43",43,0.148214311301165,"5_noise"
"44",44,0.1225899211242,"5_noise"
"45",45,0.0743719309471282,"5_noise"
"46",46,0.100210740770079,"5_noise"
"47",47,0.0743074172598081,"5_noise"
"48",48,0.0471488937494495,"5_noise"
"49",49,-0.00985549642761363,"5_noise"
"50",50,-0.0162334866047775,"5_noise"
"51",51,-0.136276810114944,"5_noise"
"52",52,-0.101093733625406,"5_noise"
"53",53,-0.0735813238024663,"5_noise"
"54",54,-0.0717307806460228,"5_noise"
"55",55,-0.0160461041564957,"5_noise"
