,time,dp
1,1,56.21594507
2,2,56.5137064
3,3,56.793616
4,4,56.9434032
5,5,57.01341547
6,6,57.06194987
7,7,57.1860752
8,8,57.39792507
9,9,57.49708587
10,10,57.58453147
11,11,57.56654027
12,12,57.62009547
13,13,57.65858827
14,14,57.6433864
15,15,57.68243707
16,16,57.68745787
17,17,57.59973333
18,18,57.54659653
19,19,57.4643112
20,20,57.52135307
21,21,57.5224688
22,22,57.502804
23,23,57.4889968
24,24,57.51131147
25,25,57.4915072
26,26,57.39388053
27,27,57.1655736
28,28,57.0417272
29,29,57.00504747
30,30,56.98677733
31,31,56.98078027
32,32,56.91007067
33,33,56.75414693
34,34,56.74368693
35,35,56.7404792
36,36,56.680648
37,37,56.60812533
38,38,56.55484907
39,39,56.5898552
40,40,56.53727627
41,41,56.4597328
42,42,56.31594267
43,43,56.25485627
44,44,56.22012907
45,45,56.12933627
46,46,56.06127653
47,47,56.12236293
48,48,56.0890304
49,49,56.06573947
50,50,56.0559768
51,51,55.97675973
52,52,55.8907088
53,53,55.88457227
54,54,55.87843573
55,55,55.76156267
56,56,55.7848536
57,57,55.74915013
58,58,55.6861112
59,59,55.745524
60,60,55.63701893
61,61,55.56365947
62,62,55.56533307
63,63,55.56045173
64,64,55.57286427
65,65,55.59392373
66,66,55.55752293
67,67,55.46254613
68,68,55.52391147
69,69,55.5170776
70,70,55.5379976
71,71,55.5271192
72,72,55.50229413
73,73,55.49978373
74,74,55.47663227
75,75,55.45752533
76,76,55.50689653
77,77,55.51428827
78,78,55.5074544
79,79,55.44999413
80,80,55.47035627
81,81,55.52195893
82,82,55.55417573
83,83,55.48890533
84,84,55.60145493
85,85,55.6459448
86,86,55.73827173
87,87,55.695316
88,88,55.74245573
89,89,55.7220936
90,90,55.69922107
91,91,55.75124213
92,92,55.6400872
93,93,55.61024133
94,94,55.5275376
95,95,55.5555704
96,96,55.66030987
97,97,55.68220613
98,98,55.6107992
99,99,55.5693776
100,100,55.5735616
101,101,55.67160667
102,102,55.72237253
103,103,55.61191493
104,104,55.50006267
105,105,55.44581013
106,106,55.49016053
107,107,55.601176
108,108,55.71093627
109,109,55.6522208
110,110,55.617912
111,111,55.7254408
112,112,55.80423947
113,113,55.68917947
114,114,55.72153573
115,115,55.7877824
116,116,55.75709973
117,117,55.68680853
118,118,55.601176
119,119,55.62279333
120,120,55.6292088
121,121,55.60940453
122,122,55.68304293
123,123,55.6133096
124,124,55.58625307
125,125,55.663936
126,126,55.73994533
127,127,55.7856904
128,128,55.85821307
129,129,55.8476136
130,130,55.9020056
131,131,55.8869432
132,132,55.85082133
133,133,55.78917707
134,134,55.80061333
135,135,55.8128864
136,136,55.8990768
137,137,55.85737627
138,138,55.7840168
139,139,55.7250224
140,140,55.66323867
141,141,55.72139627
142,142,55.81023653
143,143,55.8551448
144,144,55.84064027
145,145,55.79935813
146,146,55.86462853
147,147,55.88206187
148,148,55.8513792
149,149,55.83450373
150,150,55.80465787
151,151,55.82139387
152,152,55.760168
153,153,55.7471976
154,154,55.8107944
155,155,55.75988907
156,156,55.83478267
157,157,55.85877093
158,158,55.86574427
159,159,55.8317144
160,160,55.79642933
161,161,55.8279488
162,162,55.87829627
163,163,55.9869408
164,164,56.01260267
165,165,55.977736
166,166,55.90897893
167,167,55.9141392
168,168,55.91399973
169,169,56.021668
170,170,56.0852648
171,171,55.99251947
172,172,56.01427627
173,173,56.15736907
174,174,56.1563928
175,175,56.20925067
176,176,56.22389467
177,177,56.0919592
178,178,56.06239227
179,179,56.05583733
180,180,56.04663253
181,181,56.0170656
182,182,55.84064027
183,183,55.7932216
184,184,55.91985733
185,185,55.98261733
186,186,55.89559013
187,187,55.9455192
188,188,56.0442616
189,189,56.0894488
190,190,56.1153896
191,191,56.02445733
192,192,55.98247787
193,193,56.03519627
194,194,56.13031253
195,195,56.08582267
196,196,56.09056453
197,197,56.09460907
198,198,55.99265893
199,199,56.01316053
200,200,56.04468
201,201,56.16336613
202,202,56.1777312
203,203,56.126268
204,204,56.05988187
205,205,56.02682827
206,206,56.0145552
207,207,56.1132976
208,208,56.0609976
209,209,56.08596213
210,210,55.97508613
211,211,55.91720747
212,212,55.9932168
213,213,56.01051067
214,214,56.05541893
215,215,56.099072
216,216,56.07968613
217,217,56.06295013
218,218,56.10102453
219,219,56.20004587
220,220,56.13868053
221,221,56.15248773
222,222,56.09600373
