"","sTN","s.dp...2"
"1",1,56.7478709333332
"2",2,56.4851157333332
"3",3,56.301856533333
"4",4,56.3551328
"5",5,56.3983674666666
"6",6,56.5071514666664
"7",7,56.3146874666666
"8",8,56.3640586666664
"9",9,56.3224975999996
"10",10,56.4597328
"11",11,56.5640538666664
"12",12,56.7637701333332
"13",13,57.1065792
"14",14,57.4167530666664
"15",15,57.3018325333334
"16",16,57.1676655999998
"17",17,56.9548394666668
"18",18,57.1503717333332
"19",19,57.274776
"20",20,57.2505087999998
"21",21,57.1160629333332
"22",22,57.2973695999998
"23",23,57.3207999999996
"24",24,57.5026645333332
"25",25,57.5241423999996
"26",26,57.4379519999998
"27",27,57.2714288
"28",28,57.0608341333334
"29",29,57.0878906666668
"30",30,57.1620869333334
"31",31,57.0075578666664
"32",32,56.931688
"33",33,56.856654933333
"34",34,56.8323877333334
"35",35,56.8072837333334
"36",36,56.6773007999996
"37",37,56.8750645333332
"38",38,56.9715754666666
"39",39,56.9665546666664
"40",40,57.212294933333
"41",41,57.361245333333
"42",42,57.538646933333
"43",43,57.7140959999996
"44",44,57.823995733333
"45",45,57.8192538666664
"46",46,57.6867605333332
"47",47,57.2940224
"48",48,57.2471615999998
"49",49,57.2898384
"50",50,57.0360090666664
"51",51,56.6521967999996
"52",52,56.5632170666666
"53",53,56.5169141333332
"54",54,56.5475967999996
"55",55,56.536997333333
"56",56,56.63044
"57",57,56.9113258666666
"58",58,56.8580495999996
"59",59,56.7238826666666
"60",60,56.5774426666668
"61",61,56.3372810666666
"62",62,56.1964197333332
"63",63,56.137006933333
"64",64,56.2561114666664
"65",65,56.1205498666664
"66",66,55.9872197333332
"67",67,56.0438432
"68",68,56.1021402666668
"69",69,56.1964197333332
"70",70,56.3517856
"71",71,56.6022677333332
"72",72,56.7065888
"73",73,57.122757333333
"74",74,57.1018373333334
"75",75,56.7581914666668
"76",76,56.5263978666664
"77",77,56.3205450666662
"78",78,56.273405333333
"79",79,56.2017194666666
"80",80,56.0731312
"81",81,56.0427274666666
"82",82,56.3091087999998
"83",83,56.2505328
"84",84,56.3325392
"85",85,56.3657322666666
"86",86,56.7397818666666
"87",87,57.085101333333
"88",88,57.3051797333334
"89",89,57.2418618666664
"90",90,57.0304304
"91",91,56.7531706666666
"92",92,56.500736
"93",93,56.3102245333332
"94",94,56.4315605333332
"95",95,56.4876261333332
"96",96,56.4095248
"97",97,56.3046458666662
"98",98,56.3660111999998
"99",99,56.156253333333
"100",100,56.3241711999998
"101",101,56.587205333333
"102",102,56.590552533333
"103",103,56.5305818666666
"104",104,56.6362975999996
"105",105,56.4480175999998
"106",106,56.2697792
"107",107,56.7657226666666
"108",108,56.9054682666666
"109",109,56.8672543999998
"110",110,56.8424293333332
"111",111,56.7096570666664
"112",112,56.565448533333
"113",113,56.5852527999998
"114",114,56.4600117333332
"115",115,56.384699733333
"116",116,56.5724218666666
"117",117,56.6753482666664
"118",118,56.9219253333332
"119",119,56.9495397333334
"120",120,57.0326618666664
"121",121,57.0491189333332
"122",122,57.2164789333334
"123",123,57.2870490666664
"124",124,57.6917813333334
"125",125,57.6859237333332
"126",126,57.4616613333332
"127",127,57.9548154666666
"128",128,58.1138074666664
"129",129,58.2541109333332
"130",130,58.0663887999996
"131",131,57.6028015999998
"132",132,57.4987594666664
"133",133,57.6125642666666
"134",134,57.4803498666664
"135",135,57.5146586666664
"136",136,57.6580304
"137",137,57.7916394666662
"138",138,57.9043285333334
"139",139,58.080893333333
"140",140,58.0125546666664
"141",141,57.8064229333332
"142",142,57.7372474666664
"143",143,57.8435210666666
"144",144,57.6546832
"145",145,57.312432
"146",146,56.9657178666666
"147",147,56.974643733333
"148",148,57.136146133333
"149",149,56.9375455999996
"150",150,57.3966698666666
"151",151,57.7562149333332
"152",152,57.7757402666662
"153",153,57.7099119999998
"154",154,57.3620821333334
"155",155,57.0867749333332
"156",156,56.7651647999998
"157",157,56.7141199999998
"158",158,56.8549813333334
"159",159,56.7188618666664
"160",160,56.644944533333
"161",161,56.663354133333
"162",162,56.3785631999998
"163",163,56.3322602666664
"164",164,56.3353285333332
"165",165,56.251648533333
"166",166,56.3425808
"167",167,56.3183135999998
"168",168,56.3916730666666
"169",169,56.5342079999998
"170",170,56.8111888
"171",171,56.9534447999996
"172",172,57.1922117333332
"173",173,57.3166159999998
"174",174,57.4125690666666
"175",175,57.6014069333332
"176",176,57.5595669333332
"177",177,57.4435306666666
"178",178,57.4315365333334
"179",179,57.2797967999996
"180",180,57.0226202666666
"181",181,56.8047733333332
"182",182,56.7171882666668
"183",183,56.5202613333332
"184",184,56.5333711999998
"185",185,56.603104533333
"186",186,56.6371344
"187",187,56.9436821333334
"188",188,57.0042106666664
"189",189,57.0915167999998
"190",190,57.1913749333332
"191",191,57.3071322666666
"192",192,57.3860704
"193",193,57.3640346666668
"194",194,57.3698922666662
"195",195,57.1046266666666
"196",196,56.8427082666664
"197",197,56.8276458666664
"198",198,57.0959797333334
"199",199,57.0904010666664
"200",200,56.9849642666664
"201",201,56.9821749333332
"202",202,56.8588864
"203",203,56.9272250666666
"204",204,57.3944384
"205",205,57.7707194666666
"206",206,57.918554133333
"207",207,58.0432373333334
"208",208,57.9216224
"209",209,57.763746133333
"210",210,57.7737877333334
"211",211,57.737805333333
"212",212,57.6267898666662
"213",213,57.2839808
"214",214,57.180496533333
"215",215,57.3088058666664
"216",216,57.4284682666666
"217",217,57.4410202666666
"218",218,57.5107535999998
"219",219,57.5247002666664
"220",220,57.547851733333
"221",221,57.3559455999996
"222",222,57.3333519999998
"223",223,56.8764591999998
"224",224,56.764606933333
"225",225,57.0162047999998
"226",226,56.9104890666668
"227",227,56.8259722666666
"228",228,56.9141151999998
"229",229,56.7757642666664
"230",230,57.0513503999996
"231",231,56.9537237333332
"232",232,56.8611178666666
"233",233,56.9526079999998
"234",234,57.0764543999998
"235",235,57.0427034666664
"236",236,56.7699066666664
"237",237,56.7403397333334
"238",238,56.9375455999996
"239",239,57.183843733333
"240",240,57.1023951999996
"241",241,56.9869167999998
"242",242,57.202253333333
"243",243,57.1665498666664
"244",244,56.8401978666664
"245",245,56.9333615999998
"246",246,57.1160629333332
"247",247,57.1035109333332
"248",248,57.0033738666666
"249",249,57.1113210666666
"250",250,57.2284730666666
"251",251,57.3219157333332
"252",252,57.4831392
"253",253,57.5358575999998
"254",254,57.5860655999998
"255",255,57.5361365333334
"256",256,57.5196794666666
"257",257,57.6507781333334
"258",258,57.668072
"259",259,57.6984757333334
"260",260,57.5657034666664
"261",261,57.4530143999998
"262",262,57.44632
"263",263,57.3143845333334
"264",264,57.2781232
"265",265,57.4346047999998
"266",266,57.5305578666664
"267",267,57.4404623999998
"268",268,57.3244261333332
"269",269,57.0552554666664
"270",270,57.0524661333332
"271",271,57.0025370666668
"272",272,57.2075530666664
"273",273,57.5132639999998
"274",274,57.4108954666664
"275",275,57.4669610666664
"276",276,57.6284634666666
"277",277,57.7372474666664
"278",278,57.6245583999998
"279",279,57.706843733333
"280",280,57.6772768
"281",281,57.8689039999998
"282",282,57.8379423999996
"283",283,57.9910768
"284",284,58.1274752
"285",285,57.9288746666666
"286",286,57.6627722666666
"287",287,57.6758821333334
"288",288,57.5439466666664
"289",289,57.6382261333332
"290",290,57.7548202666666
"291",291,57.6251162666666
"292",292,57.4019695999998
"293",293,57.3071322666666
"294",294,57.3492511999998
"295",295,57.2318202666666
"296",296,57.186354133333
"297",297,57.0761754666666
"298",298,57.047445333333
"299",299,57.0114629333332
"300",300,56.8106309333334
"301",301,56.9021210666666
"302",302,56.8965423999996
"303",303,56.5347658666664
"304",304,56.3930677333332
"305",305,56.4731215999998
"306",306,56.4750741333332
"307",307,56.5347658666664
"308",308,56.7506602666664
"309",309,56.8120256
"310",310,57.1860752
"311",311,57.2401882666668
"312",312,57.4655663999998
"313",313,57.6309738666666
"314",314,57.6532885333334
"315",315,57.6915023999998
"316",316,57.572955733333
"317",317,57.4457621333332
"318",318,57.5247002666664
"319",319,57.7135381333334
"320",320,57.5651455999996
"321",321,57.2396304
"322",322,57.1623658666666
"323",323,57.4599877333334
"324",324,57.6050330666666
"325",325,57.6371103999998
"326",326,57.7185589333332
"327",327,57.8733669333332
"328",328,57.6970810666666
"329",329,57.630694933333
"330",330,57.693454933333
"331",331,57.7007071999998
"332",332,57.5657034666664
"333",333,57.5255370666668
"334",334,57.7827135999998
"335",335,57.7492415999996
"336",336,57.9110229333332
"337",337,57.9623466666664
"338",338,57.982150933333
"339",339,57.976293333333
"340",340,57.9020970666664
"341",341,57.7757402666662
"342",342,57.8702986666664
"343",343,57.7046122666666
"344",344,57.6248373333334
"345",345,57.4898336
"346",346,57.6602618666664
"347",347,57.5972229333332
"348",348,57.5849498666664
"349",349,57.4150794666666
"350",350,57.3977856
"351",351,57.4396256
"352",352,57.2602714666666
"353",353,57.2714288
"354",354,57.1927695999998
"355",355,57.3849546666664
"356",356,57.297648533333
"357",357,57.0312671999998
"358",358,57.0622288
"359",359,57.0739439999996
"360",360,57.101000533333
"361",361,57.4002959999996
"362",362,57.4608245333332
"363",363,57.4201002666664
"364",364,57.434046933333
"365",365,57.639899733333
"366",366,57.8117226666666
"367",367,57.3718447999996
"368",368,57.2644554666664
"369",369,57.4477146666666
"370",370,57.6560778666666
"371",371,57.7949866666668
"372",372,57.7124224
