"","sTN","s.dp"
"1",1,53.8582610666668
"2",2,53.8112608000002
"3",3,53.9872677333333
"4",4,53.9173949333333
"5",5,53.9530984000001
"6",6,53.9445909333333
"7",7,53.9894992000001
"8",8,54.0183688
"9",9,53.9703922666667
"10",10,53.8840624000002
"11",11,53.9405464
"12",12,53.9192080000001
"13",13,54.0257605333335
"14",14,54.0376152
"15",15,54.0302234666667
"16",16,54.0543512000001
"17",17,54.0331522666668
"18",18,53.9600717333334
"19",19,53.9793181333333
"20",20,53.9253445333333
"21",21,53.8197682666667
"22",22,53.8484984
"23",23,53.9836416
"24",24,54.0302234666667
"25",25,54.0264578666668
"26",26,54.1245029333334
"27",27,54.0497488000001
"28",28,53.9857336000002
"29",29,53.9889413333333
"30",30,53.9966120000002
"31",31,53.9519826666668
"32",32,54.0565826666668
"33",33,54.0512829333335
"34",34,53.9676029333334
"35",35,54.0020512000001
"36",36,54.0649506666667
"37",37,54.0441701333334
"38",38,53.9995408
"39",39,54.0754106666668
"40",40,54.1101378666666
"41",41,54.1809869333333
"42",42,54.1726189333333
"43",43,54.0203213333334
"44",44,54.0459832000001
"45",45,54.0570010666667
"46",46,53.9960541333334
"47",47,53.9289706666667
"48",48,53.8794600000002
"49",49,53.9642557333335
"50",50,53.9641162666667
"51",51,53.9168370666669
"52",52,53.9342704
"53",53,53.9517037333334
"54",54,53.9292496000001
"55",55,53.9084690666667
"56",56,53.8860149333333
"57",57,53.9065165333333
"58",58,53.8450117333335
"59",59,53.8662106666668
"60",60,53.8690000000001
"61",61,53.9754130666666
"62",62,54.0556064000001
"63",63,54.0101402666666
"64",64,53.9338520000001
"65",65,54.0058168
"66",66,54.0093034666668
"67",67,54.0726213333334
"68",68,54.1666218666667
"69",69,54.0684373333333
"70",70,54.0782000000001
"71",71,54.0543512000001
"72",72,54.0238080000001
"73",73,54.0049800000001
"74",74,53.9597928
"75",75,53.9821074666668
"76",76,53.9703922666667
"77",77,54.0441701333334
"78",78,54.0659269333334
"79",79,54.105396
"80",80,54.1309184
"81",81,54.0443096000002
"82",82,54.0348258666667
"83",83,54.1098589333335
"84",84,54.0603482666667
"85",85,53.9736000000001
"86",86,53.8055426666667
"87",87,53.8028928
"88",88,53.8878280000001
"89",89,53.9077717333334
"90",90,53.9397096000002
"91",91,53.9867098666668
"92",92,53.9709501333334
"93",93,53.9144661333333
"94",94,53.8770890666666
"95",95,53.8804362666668
"96",96,53.8383173333333
"97",97,53.9512853333335
"98",98,54.0065141333333
"99",99,53.9867098666668
"100",100,54.0295261333334
"101",101,53.9914517333334
"102",102,54.0164162666666
"103",103,54.0674610666668
"104",104,54.1151586666668
"105",105,54.1385890666666
"106",106,54.1037224
"107",107,54.0219949333333
"108",108,53.9119557333335
"109",109,54.0023301333334
"110",110,54.0932624
"111",111,54.1318946666667
"112",112,53.9915912
"113",113,53.9943805333335
"114",114,54.0869864000002
"115",115,54.1341261333334
"116",116,54.1378917333333
"117",117,54.074016
"118",118,54.0554669333333
"119",119,54.0359416
"120",120,54.0762474666667
"121",121,54.1087432
"122",122,54.1338472
"123",123,54.0987016000001
"124",124,54.0199029333334
"125",125,54.0971674666667
"126",126,54.1327314666668
"127",127,54.0716450666667
"128",128,54.0572800000001
"129",129,53.9961936
"130",130,54.0058168
"131",131,53.9320389333333
"132",132,53.96314
"133",133,53.9327362666668
"134",134,53.9823864000002
"135",135,53.9744368000002
"136",136,53.9148845333335
"137",137,53.9331546666668
"138",138,54.0147426666667
"139",139,54.1450045333335
"140",140,54.1858682666667
"141",141,54.1178085333335
"142",142,54.1751293333335
"143",143,54.1946546666668
"144",144,54.1533725333334
"145",145,54.1907496000001
"146",146,54.2320317333335
"147",147,54.1302210666667
"148",148,54.1101378666666
"149",149,54.0178109333335
"150",150,53.9938226666667
"151",151,54.0263184
"152",152,54.1993965333334
"153",153,54.2576936
"154",154,54.2108328000001
"155",155,54.1885181333333
"156",156,54.1416573333335
"157",157,54.2104144
"158",158,54.2118090666668
"159",159,54.1657850666668
"160",160,54.1434704
"161",161,54.0581168
"162",162,54.0602088000002
"163",163,54.1656456
"164",164,54.1385890666666
"165",165,54.2867026666668
"166",166,54.2834949333334
"167",167,54.2797293333334
"168",168,54.2814029333334
"169",169,54.2597856000002
"170",170,54.2304976
"171",171,54.2826581333335
"172",172,54.3003704
"173",173,54.2311949333334
"174",174,54.1822421333333
"175",175,54.2811240000001
"176",176,54.1981413333333
"177",177,54.1205978666667
"178",178,54.1348234666667
"179",179,54.2055330666668
"180",180,54.1783370666666
"181",181,54.2023253333334
"182",182,54.1458413333333
"183",183,54.1768029333334
"184",184,54.25602
"185",185,54.3413736000001
"186",186,54.2440258666668
"187",187,54.2059514666668
"188",188,54.1345445333334
"189",189,54.0851733333334
"190",190,54.0864285333334
"191",191,54.1521173333333
"192",192,54.1512805333335
"193",193,54.2337053333335
"194",194,54.2401208
"195",195,54.1931205333334
"196",196,54.2059514666668
"197",197,54.2012096000002
"198",198,54.1758266666668
"199",199,54.0769448
"200",200,54.1719216
"201",201,54.2546253333334
"202",202,54.2579725333334
"203",203,54.2289634666666
"204",204,54.2649458666667
"205",205,54.1745714666667
"206",206,54.2583909333333
"207",207,54.2607618666666
"208",208,54.1981413333333
"209",209,54.1104168
"210",210,54.1681560000001
"211",211,54.2066488000001
"212",212,54.0583957333334
"213",213,54.1088826666668
"214",214,54.1780581333335
"215",215,54.2985573333335
"216",216,54.2284056000001
"217",217,54.2444442666667
"218",218,54.2977205333334
"219",219,54.3275664
"220",220,54.2763821333335
"221",221,54.1928416
"222",222,54.2250584000002
"223",223,54.2179456
"224",224,54.2486282666668
"225",225,54.2454205333334
"226",226,54.1921442666667
"227",227,54.1197610666668
"228",228,54.0535144
"229",229,54.0084666666667
"230",230,54.0889389333333
"231",231,54.1038618666666
"232",232,54.1272922666667
"233",233,54.1433309333335
"234",234,54.1383101333335
"235",235,54.1178085333335
"236",236,54.2377498666667
"237",237,54.2636906666667
"238",238,54.2740111999999
"239",239,54.3017650666666
"240",240,54.2624354666668
"241",241,54.2129248000001
"242",242,54.2741506666667
"243",243,54.3035781333334
"244",244,54.209996
"245",245,54.1426336000002
"246",246,54.1805685333333
"247",247,54.0814077333335
"248",248,54.1059538666668
"249",249,54.0886600000002
"250",250,54.1235266666668
"251",251,54.1224109333335
"252",252,54.1571381333333
"253",253,54.2338448
"254",254,54.3027413333333
"255",255,54.1754082666668
"256",256,54.2936760000001
"257",257,54.3613173333333
"258",258,54.3138986666667
"259",259,54.3639672
"260",260,54.3335634666666
"261",261,54.2675957333334
"262",262,54.2687114666666
"263",263,54.3408157333333
"264",264,54.3190589333335
"265",265,54.3316109333333
"266",266,54.1989781333334
"267",267,54.2288240000001
"268",268,54.2549042666668
"269",269,54.2869816000001
"270",270,54.2224085333335
"271",271,54.1034434666667
"272",272,54.0146032000001
"273",273,54.0698320000001
"274",274,54.1712242666667
"275",275,54.2422128
"276",276,54.2374709333334
"277",277,54.2207349333335
"278",278,54.1986992000001
"279",279,54.3091568000001
"280",280,54.3834925333333
"281",281,54.3597832000002
"282",282,54.2868421333333
"283",283,54.2723376
"284",284,54.3374685333334
"285",285,54.3922789333335
"286",286,54.4215669333333
"287",287,54.3830741333334
"288",288,54.3423498666667
"289",289,54.4013442666667
"290",290,54.4532258666668
"291",291,54.4198933333333
"292",292,54.4295165333333
