"time","mean","sd","se"
1,60.5355836209665,15.1692323868956,5.73343092506748
2,60.5376920994961,15.1698482590229,5.73366370285155
3,60.5398005780256,15.1704641727714,5.7338964963669
4,60.5419090565551,15.1710801281358,5.73412930561161
5,60.5440175350847,15.1716961251111,5.73436213058374
6,60.5461260136142,15.1723121636921,5.73459497128139
7,60.5482344921438,15.172928243874,5.73482782770265
8,60.5503429706733,15.1735443656515,5.73506069984559
9,60.5524514492028,15.1741605290196,5.73529358770832
10,60.5545599277324,15.1747767339733,5.73552649128889
11,60.5566684062619,15.1753929805074,5.7357594105854
12,60.5587768847914,15.176009268617,5.73599234559596
13,60.560885363321,15.1766255982969,5.73622529631863
14,60.5629938418505,15.177241969542,5.73645826275148
15,60.56510232038,15.1778583823474,5.73669124489263
16,60.5672107989096,15.178474836708,5.73692424274016
17,60.5693192774391,15.1790913326187,5.73715725629214
18,60.5714277559687,15.1797078700744,5.73739028554668
19,60.5735362344982,15.18032444907,5.73762333050184
20,60.5756447130277,15.1809410696006,5.73785639115573
21,60.5777531915573,15.181557731661,5.73808946750641
22,60.5798616700868,15.1821744352462,5.73832255955199
23,60.5819701486164,15.1827911803511,5.73855566729056
24,60.5840786271459,15.1834079669707,5.73878879072019
25,60.5861871056755,15.1840247950999,5.73902192983897
26,60.588295584205,15.1846416647337,5.73925508464501
27,60.5904040627345,15.1852585758669,5.73948825513639
28,60.592512541264,15.1858755284946,5.73972144131117
29,60.5946210197936,15.1864925226116,5.73995464316747
30,60.5967294983231,15.187109558213,5.74018786070337
31,60.5988379768527,15.1877266352936,5.74042109391695
32,60.6009464553822,15.1883437538485,5.74065434280632
33,60.6030549339117,15.1889609138724,5.74088760736955
34,60.6051634124413,15.1895781153605,5.74112088760473
35,60.6072718909708,15.1901953583077,5.74135418350997
36,60.6093803695004,15.1908126427088,5.74158749508335
37,60.6114888480299,15.1914299685589,5.74182082232293
38,60.6135973265594,15.1920473358528,5.74205416522683
39,60.615705805089,15.1926647445856,5.74228752379316
40,60.6178142836185,15.1932821947522,5.74252089801997
41,60.619922762148,15.1938996863474,5.74275428790536
42,60.6220312406776,15.1945172193664,5.74298769344744
43,60.6241397192071,15.195134793804,5.74322111464429
44,60.6262481977367,15.1957524096551,5.74345455149398
45,60.6283566762662,15.1963700669148,5.74368800399464
46,60.6304651547957,15.196987765578,5.74392147214435
47,60.6325736333253,15.1976055056396,5.74415495594118
48,60.6346821118548,15.1982232870945,5.74438845538324
49,60.6367905903844,15.1988411099378,5.74462197046863
50,60.6388990689139,15.1994589741644,5.74485550119543
51,60.6410075474434,15.2000768797693,5.74508904756174
52,60.643116025973,15.2006948267473,5.74532260956563
53,60.6452245045025,15.2013128150935,5.74555618720524
54,60.647332983032,15.2019308448028,5.74578978047861
55,60.6494414615616,15.2025489158702,5.74602338938387
56,60.6515499400911,15.2031670282905,5.74625701391909
57,60.6536584186207,15.2037851820589,5.74649065408237
58,60.6557668971502,15.2044033771701,5.74672430987182
59,60.6578753756797,15.2050216136193,5.74695798128552
60,60.6599838542093,15.2056398914013,5.74719166832156
61,60.6620923327388,15.2062582105111,5.74742537097805
62,60.6642008112683,15.2068765709436,5.74765908925307
63,60.6663092897978,15.2074949726939,5.74789282314472
64,60.6684177683274,15.2081134157569,5.7481265726511
65,60.6705262468569,15.2087319001275,5.7483603377703
66,60.6726347253865,15.2093504258007,5.74859411850041
67,60.674743203916,15.2099689927714,5.74882791483954
68,60.6768516824456,15.2105876010347,5.74906172678576
69,60.6789601609751,15.2112062505855,5.7492955543372
70,60.6810686395046,15.2118249414187,5.74952939749193
71,60.6831771180342,15.2124436735293,5.74976325624805
72,60.6852855965637,15.2130624469123,5.74999713060369
73,60.6873940750932,15.2136812615627,5.7502310205569
74,60.6895025536228,15.2143001174753,5.75046492610579
75,60.6916110321523,15.2149190146452,5.75069884724846
76,60.6937195106819,15.2155379530674,5.75093278398301
77,60.6958279892114,15.2161569327367,5.75116673630755
78,60.6979364677409,15.2167759536483,5.75140070422016
79,60.7000449462705,15.2173950157969,5.75163468771892
80,60.7021534248,15.2180141191777,5.75186868680197
81,60.7042619033295,15.2186332637855,5.75210270146739
82,60.7063703818591,15.2192524496154,5.75233673171327
83,60.7084788603886,15.2198716766622,5.7525707775377
84,60.7105873389182,15.2204909449211,5.75280483893881
85,60.7126958174477,15.2211102543869,5.75303891591468
86,60.7148042959772,15.2217296050546,5.7532730084634
87,60.7169127745068,15.2223489969192,5.75350711658309
